r_fighter,b_fighter,r_win,b_win,wei_class,method,round,time,t_format,ref,details,r_kd,b_kd,r_sigstr,b_sigstr,r_totstr,b_totstr,r_td,b_td,r_sub,b_sub,r_rev,b_rev,r_ctrl,b_ctrl,r_hstr,b_hstr,r_bstr,b_bstr,r_lstr,b_lstr,r_dis,b_dis,r_cli,b_cli,r_gro,b_gro
Anthony Hernandez,Kevin Holland,0,1,Middleweight Bout,KO/TKO,1,0:39,3 Rnd (5-5-5),Michael Cardoso,Knees to Body In Clinch,0,1,0.0,0.78,0.0,0.78,0.0,0.0,0,0,0,0,0,4,0.0,0.69,0,1.0,0,1.0,0.0,0.57,0,1.0,0,0.83
Giga Chikadze,Irwin Rivera,1,0,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,,1,0,0.45,0.36,0.45,0.37,1.0,0.0,0,0,0,0,6,3,0.33,0.28,0.81,0.56,0.79,0.8,0.45,0.36,0.5,0,0.44,0
Anthony Smith,Glover Teixeira,0,1,Light Heavyweight Bout,KO/TKO,5,1:04,5 Rnd (5-5-5-5-5),Jason Herzog,Punches to Head From Mount,0,1,0.41,0.61,0.41,0.68,0.33,0.5,0,0,0,0,7,478,0.37,0.58,0.55,0.68,0.75,1.0,0.41,0.49,0.2,0.57,0,0.83
Matt Brown,Miguel Baeza,0,1,Welterweight Bout,KO/TKO,2,0:18,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance,0,2,0.54,0.51,0.54,0.53,0.0,0.0,0,0,0,0,10,57,0.49,0.39,0.8,0.71,0,0.92,0.48,0.47,0.71,0.5,0,0.78
Song Yadong,Marlon Vera,1,0,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,,0,0,0.5,0.56,0.54,0.61,0.0,0.66,0,0,0,0,60,195,0.46,0.42,0.71,0.72,0.91,0.85,0.47,0.54,0.68,0.69,1.0,0.5
Dan Ige,Edson Barboza,1,0,Featherweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,,0,1,0.48,0.56,0.53,0.57,0.25,0.0,0,0,0,0,126,115,0.41,0.47,0.71,0.64,1.0,0.79,0.45,0.5,0.62,0.89,1.0,0.64
Darren Elkins,Nate Landwehr,0,1,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.48,0.5,0.51,0.51,0.07,0.0,0,0,0,1,84,29,0.44,0.45,0.78,0.89,1.0,1.0,0.46,0.47,0.61,0.79,1.0,0
Claudia Gadelha,Angela Hill,1,0,Women's Strawweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Keith Peterson,,0,1,0.4,0.51,0.42,0.52,0.25,0.0,0,0,0,0,167,37,0.34,0.44,0.67,0.74,0.9,1.0,0.39,0.51,0.5,1.0,1.0,0.0
Casey Kenney,Merab Dvalishvili,0,1,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Joe Coca,,0,0,0.38,0.35,0.39,0.47,0.0,0.5,0,0,0,0,5,340,0.25,0.22,0.59,0.61,0.93,0.9,0.38,0.28,0.5,0.88,0,0.76
Devin Clark,Dequan Townsend,1,0,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,,0,0,0.72,0.17,0.81,0.54,0.75,0.0,0,0,0,0,606,0,0.59,0.12,0.93,0.67,0.88,0,0.45,0.06,0.75,1.0,0.9,0
